,suffix,site
0,0,https://www.youtube.com/
1,1,https://www.yahoo.com/
2,2,https://www.espn.com/
3,3,https://weather.com/
4,4,https://www.accuweather.com/
5,5,https://www.fandom.com/
6,6,https://www.twitch.tv/
7,7,https://definition.org/
8,8,https://www.aol.com/
9,9,https://www.imdb.com/
10,10,https://www.tripadvisor.com/
11,11,https://www.fanfiction.net/
12,12,https://imgur.com/
13,13,https://www.motorbiscuit.com/
14,14,https://people.com/
15,15,https://www.nbcsports.com/
16,16,https://www.businessinsider.com/
17,17,https://allrecipes.com/
18,18,https://www.wunderground.com/
19,19,https://slickdeals.net/
20,20,https://www.cheatsheet.com/
21,21,https://247sports.com/
22,22,https://www.tmz.com/
23,23,https://www.ign.com/
24,24,https://www.gamespot.com/
25,25,https://www.cnet.com/
26,26,https://genius.com/
27,27,https://www.worldometers.info/
28,28,https://www.foodnetwork.com/
29,29,https://www.rottentomatoes.com/
30,30,https://www.merriam-webster.com/
31,31,https://www.thesaurus.com/
32,32,https://www.theverge.com/
33,33,https://pagesix.com/
34,34,https://www.delish.com/
35,35,https://www.timeanddate.com/
36,36,https://www.dictionary.com/
37,37,https://www.today.com/
38,38,https://www.tomsguide.com/
39,39,http://www.allscrabblewords.com/
