user_id,group,vm_id,vpn_location,vpn_server,proportion
550,race - black,1,Dallas,116,74
551,race - black,1,Denver,7,65
552,race - black,1,Houston,25,55
553,race - black,1,Las Vegas,27,75
554,race - black,1,Los Angeles,48,77
555,race - black,1,Miami,16,79
556,race - black,1,New Orleans,28,70
557,race - black,1,New York,25,27
558,race - black,1,Phoenix,29,63
559,race - black,1,San Jose,33,44
560,race - black,1,Seattle,1,9
561,race - black,1,Ashburn,44,46
562,race - black,1,Atlanta,4,67
563,race - black,1,Boston,50,56
564,race - black,1,Charlotte,18,81
565,race - black,1,Chicago,34,0
566,race - black,1,Cincinnati,0,12
567,race - black,1,Dallas,85,86
568,race - black,1,Denver,2,18
569,race - black,1,Houston,52,42
570,race - black,1,Las Vegas,33,79
571,race - black,1,Los Angeles,20,32
572,race - black,1,Miami,1,7
573,race - black,1,New Orleans,47,5
574,race - black,1,New York,34,88
575,race - black,1,Phoenix,22,56
576,race - black,1,San Jose,43,30
577,race - black,1,Seattle,10,88
578,race - black,1,Ashburn,39,77
579,race - black,1,Atlanta,24,87
580,race - black,1,Boston,13,99
581,race - black,1,Charlotte,33,77
582,race - black,1,Chicago,109,88
583,race - black,1,Cincinnati,3,74
584,race - black,1,Dallas,16,28
585,race - black,1,Denver,4,41
586,race - black,1,Houston,13,54
587,race - black,1,Las Vegas,1,88
588,race - black,1,Los Angeles,51,74
589,race - black,1,Miami,41,28
590,race - black,1,New Orleans,5,28
591,race - black,1,New York,37,1
592,race - black,1,Phoenix,5,36
593,race - black,1,San Jose,25,15
594,race - black,1,Seattle,17,24
595,race - black,1,Ashburn,25,55
596,race - black,1,Atlanta,80,56
597,race - black,1,Boston,48,70
598,race - black,1,Charlotte,14,77
599,race - black,1,Chicago,27,28
600,race - black,1,Cincinnati,3,54
601,race - black,1,Dallas,90,73
602,race - black,1,Denver,23,28
603,race - black,1,Houston,15,56
604,race - black,1,Las Vegas,22,81
605,race - black,1,Los Angeles,72,34
606,race - black,1,Miami,54,7
607,race - black,1,New Orleans,37,81
608,race - black,1,New York,100,35
609,race - black,1,Phoenix,11,30
610,race - black,1,San Jose,20,79
611,race - black,1,Seattle,22,0
612,race - black,1,Ashburn,48,38
613,race - black,1,Atlanta,132,91
614,race - black,1,Boston,44,15
615,race - black,1,Charlotte,1,95
616,race - black,1,Chicago,103,32
617,race - black,1,Cincinnati,14,6
618,race - black,1,Dallas,4,31
619,race - black,1,Denver,11,36
620,race - black,1,Houston,34,86
621,race - black,1,Las Vegas,38,70
622,race - black,1,Los Angeles,9,45
623,race - black,1,Miami,46,59
624,race - black,1,New Orleans,16,28
625,race - black,1,New York,108,25
626,race - black,1,Phoenix,6,91
627,race - black,1,San Jose,23,60
628,race - black,1,Seattle,25,16
629,race - black,1,Ashburn,66,92
630,race - black,1,Atlanta,99,7
631,race - black,1,Boston,68,20
632,race - black,1,Charlotte,4,1
633,race - black,1,Chicago,75,62
634,race - black,1,Cincinnati,14,36
635,race - black,1,Dallas,71,28
636,race - black,1,Denver,7,46
637,race - black,1,Houston,44,54
638,race - black,1,Las Vegas,14,62
639,race - black,1,Los Angeles,6,66
640,race - black,1,Miami,37,7
641,race - black,1,New Orleans,21,61
642,race - black,1,New York,72,7
643,race - black,1,Phoenix,23,69
644,race - black,1,San Jose,35,10
645,race - black,1,Seattle,29,85
646,race - black,1,Ashburn,31,46
647,race - black,1,Atlanta,75,6
648,race - black,1,Boston,79,30
649,race - black,1,Charlotte,17,5
650,race - black,1,Chicago,12,0
651,race - black,1,Cincinnati,2,20
652,race - black,1,Dallas,80,0
653,race - black,1,Denver,10,69
654,race - black,1,Houston,1,42
